sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Frontpage not logged,300,688,357,1996,311,3144,0.0,0.18166052250410553,7.1661882876497485
Login,300,2946,1960,5883,1646,14052,0.0,0.17857472370025876,15.614401194865797
Frontpage logged,300,3281,1504,7261,1093,20776,0.0,0.180816458637331,15.695464268106207
View course,300,1220,694,2369,554,9521,0.0,0.180303848044725,18.920126188840936
View a page activity,300,582,521,635,458,2562,0.0,0.17933338195260579,9.347710503018181
View course again,300,665,635,728,549,2369,0.0,0.18032574041749017,18.926702672269688
View a forum activity,300,647,543,836,468,2358,0.0,0.1807307304895152,11.561957854873825
View a forum discussion,300,4647,2130,9443,1516,67410,0.0,0.1804408169157251,158.83189957284395
Fill a form to reply a forum discussion,300,5772,1130,20258,839,56766,0.0,0.18053908972190963,41.947342459897754
Send the forum discussion reply,300,4926,647,21230,537,42474,0.0,0.1799331368463479,4.729746332512838
View course once more,300,2314,669,4437,574,38567,0.0,0.1792111483671176,21.00009187371528
View course participants,300,1191,654,1162,575,18665,0.0,0.1804928175891454,20.540045038974416
Logout,300,674,553,628,509,8272,0.0,0.1823025541803191,7.334263786896518
TOTAL,3900,2273,687,4430,311,67410,0.0,1.9993663546629836,299.869334479829
