sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
Frontpage not logged,5,348,346,350,343,358,0.0,0.11455803510058196,4.520343717064565
Login,5,2127,1702,1745,1678,3824,0.0,0.11145538440962083,6.291917673480306
Frontpage logged,5,1157,1158,1171,1105,1203,0.0,0.11284643856639884,6.2675176463618305
View course,5,768,617,621,589,1407,0.0,0.1142334932602239,11.313578078592643
View a page activity,5,524,521,536,508,540,0.0,0.11435628845230199,5.930110618267274
View course again,5,605,607,612,592,621,0.0,0.11410314924691921,11.30066892971246
View a forum activity,5,521,516,537,502,540,0.0,0.11434059777264514,7.28271445293741
View a forum discussion,5,604,607,616,575,639,0.0,0.11401728502040909,6.902388198925957
Fill a form to reply a forum discussion,5,715,698,716,683,790,0.0,0.11383039271485487,12.013775256118384
Send the forum discussion reply,5,617,615,636,586,643,0.0,0.11428832659032206,3.0124572490228347
View course once more,5,608,614,614,586,617,0.0,0.1142935515578211,11.34943896152879
View course participants,5,626,632,633,604,637,0.0,0.11417871252083761,9.263305566497683
Logout,5,589,595,598,568,599,0.0,0.11423871321513435,4.597528088443612
TOTAL,65,754,610,1171,343,3824,0.0,1.2211847370695323,82.49501031548839
