sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Frontpage not logged,5,348,343,358,5.314132102236431,0.0,0.11455803510058196,4.520343717064565,40406.0
Login,5,2127,1678,3824,848.6081781364112,0.0,0.11145538440962083,6.291917673480306,57807.2
Frontpage logged,5,1157,1105,1203,31.828289303696554,0.0,0.11284643856639884,6.2675176463618305,56873.2
View course,5,768,589,1407,319.29071392697915,0.0,0.1142334932602239,11.313578078592643,101416.0
View a page activity,5,524,508,540,12.073110618227231,0.0,0.11435628845230199,5.930110618267274,53101.0
View course again,5,605,592,621,10.943491216241329,0.0,0.11410314924691921,11.30066892971246,101416.0
View a forum activity,5,521,502,540,14.595889832414434,0.0,0.11434059777264514,7.28271445293741,65221.8
View a forum discussion,5,604,575,639,22.382135733662217,0.0,0.11401728502040909,6.902388198925957,61991.0
Fill a form to reply a forum discussion,5,715,683,790,38.763900732510855,0.0,0.11383039271485487,12.013775256118384,108074.0
Send the forum discussion reply,5,617,586,643,20.499756096111213,0.0,0.11428832659032206,3.0124572490228347,26991.0
View course once more,5,608,586,617,11.320777358466794,0.0,0.1142935515578211,11.34943896152879,101684.0
View course participants,5,626,604,637,11.754148203928526,0.0,0.11417871252083761,9.263305566497683,83077.0
Logout,5,589,568,599,11.499565209171635,0.0,0.11423871321513435,4.597528088443612,41210.8
TOTAL,65,754,343,3824,502.00671062725144,0.0,1.2211847370695323,82.49501031548839,69174.53846153847
